,total,POSITIVE,NEGATIVE,proportion
hard,9,3,6,0.3333333333333333
thinking,5,3,2,0.6
entire,11,2,9,0.18181818181818182
really,15,4,11,0.26666666666666666
big,13,4,9,0.3076923076923077
send,17,5,12,0.29411764705882354
nice,5,4,1,0.8
save,16,5,11,0.3125
hands,6,3,3,0.5
saying,9,3,6,0.3333333333333333
way,23,10,13,0.43478260869565216
ago,6,2,4,0.3333333333333333
strength,6,4,2,0.6666666666666666
weapons,10,3,7,0.3
meet,6,4,2,0.6666666666666666
ends,5,2,3,0.4
second,8,4,4,0.5
red,14,2,12,0.14285714285714285
comments,6,2,4,0.3333333333333333
leave,6,2,4,0.3333333333333333
funding,7,2,5,0.2857142857142857
countries,23,6,17,0.2608695652173913
secure,7,0,7,0.0
population,5,0,5,0.0
se,5,0,5,0.0
le,6,1,5,0.16666666666666666
truck,5,2,3,0.4
given,5,2,3,0.4
impact,5,2,3,0.4
hate,6,3,3,0.5
crisis,6,1,5,0.16666666666666666
lower,7,1,6,0.14285714285714285
energy,8,2,6,0.25
billion,6,1,5,0.16666666666666666
across,8,3,5,0.375
medical,6,1,5,0.16666666666666666
climate,16,2,14,0.125
dangerous,10,2,8,0.2
costs,6,2,4,0.3333333333333333
order,16,1,15,0.0625
created,16,3,13,0.1875
higher,13,4,9,0.3076923076923077
justice,8,3,5,0.375
allowed,5,2,3,0.4
double,5,3,2,0.6
campaign,10,2,8,0.2
democrat,7,3,4,0.42857142857142855
school,7,3,4,0.42857142857142855
point,7,1,6,0.14285714285714285
women,13,3,10,0.23076923076923078
water,5,2,3,0.4
millions,12,5,7,0.4166666666666667
service,6,3,3,0.5
cut,5,1,4,0.2
helped,7,3,4,0.42857142857142855
hand,7,3,4,0.42857142857142855
average,6,1,5,0.16666666666666666
including,6,3,3,0.5
watch,13,2,11,0.15384615384615385
home,19,5,14,0.2631578947368421
debt,13,3,10,0.23076923076923078
sad,6,1,5,0.16666666666666666
soldier,9,0,9,0.0
tax,11,2,9,0.18181818181818182
supporters,9,3,6,0.3333333333333333
lies,25,3,22,0.12
communist,5,0,5,0.0
seen,15,2,13,0.13333333333333333
terrorist,10,0,10,0.0
fight,10,4,6,0.4
trying,6,1,5,0.16666666666666666
war,44,7,37,0.1590909090909091
east,11,1,10,0.09090909090909091
enemy,5,0,5,0.0
next,10,2,8,0.2
hamas,5,0,5,0.0
group,6,1,5,0.16666666666666666
reason,9,0,9,0.0
injustice,9,1,8,0.1111111111111111
read,13,1,12,0.07692307692307693
soldiers,12,0,12,0.0
person,14,7,7,0.5
everyday,5,2,3,0.4
hello,6,5,1,0.8333333333333334
two,9,3,6,0.3333333333333333
joke,13,2,11,0.15384615384615385
stage,5,1,4,0.2
thing,5,1,4,0.2
hit,7,2,5,0.2857142857142857
happy,8,6,2,0.75
media,13,3,10,0.23076923076923078
never,22,7,15,0.3181818181818182
real,14,4,10,0.2857142857142857
tell,14,4,10,0.2857142857142857
anyone,11,3,8,0.2727272727272727
f,6,2,4,0.3333333333333333
another,15,2,13,0.13333333333333333
needed,6,0,6,0.0
treatment,6,0,6,0.0
speech,9,1,8,0.1111111111111111
due,14,2,12,0.14285714285714285
seas,10,0,10,0.0
upon,21,1,20,0.047619047619047616
delusional,5,1,4,0.2
destructive,9,1,8,0.1111111111111111
creating,7,1,6,0.14285714285714285
leader,11,9,2,0.8181818181818182
giving,6,1,5,0.16666666666666666
da,5,2,3,0.4
worst,30,0,30,0.0
lives,10,3,7,0.3
career,5,2,3,0.4
incompetent,5,1,4,0.2
la,10,0,10,0.0
possible,5,1,4,0.2
highest,12,5,7,0.4166666666666667
could,11,1,10,0.09090909090909091
father,5,2,3,0.4
failed,10,2,8,0.2
oh,5,1,4,0.2
criminals,16,2,14,0.125
always,7,4,3,0.5714285714285714
build,8,0,8,0.0
state,14,2,12,0.14285714285714285
wake,12,2,10,0.16666666666666666
destroy,11,3,8,0.2727272727272727
eyes,7,2,5,0.2857142857142857
confirming,13,0,13,0.0
already,8,1,7,0.125
ships,11,0,11,0.0
direct,5,2,3,0.4
call,10,2,8,0.2
propaganda,6,0,6,0.0
bombing,5,0,5,0.0
hearts,5,0,5,0.0
netanyahu,6,0,6,0.0
human,12,1,11,0.08333333333333333
ears,10,1,9,0.1
turns,5,0,5,0.0
elect,6,1,5,0.16666666666666666
travel,5,2,3,0.4
bombs,6,0,6,0.0
evil,12,0,12,0.0
security,7,1,6,0.14285714285714285
terrorists,7,0,7,0.0
decide,5,1,4,0.2
alone,12,0,12,0.0
behind,8,2,6,0.25
arab,8,0,8,0.0
terrorism,8,1,7,0.125
rest,8,2,6,0.25
case,10,1,9,0.1
peace,27,4,23,0.14814814814814814
journalists,5,0,5,0.0
foreigners,7,2,5,0.2857142857142857
try,8,2,6,0.25
wrong,6,1,5,0.16666666666666666
supporting,9,2,7,0.2222222222222222
end,18,2,16,0.1111111111111111
democratic,7,0,7,0.0
part,9,2,7,0.2222222222222222
goodness,5,2,3,0.4
victory,5,2,3,0.4
chief,11,3,8,0.2727272727272727
threat,8,0,8,0.0
biggest,5,1,4,0.2
criminal,12,1,11,0.08333333333333333
gives,8,0,8,0.0
anymore,6,2,4,0.3333333333333333
illegals,18,4,14,0.2222222222222222
aliens,7,1,6,0.14285714285714285
chaos,9,0,9,0.0
certainly,21,1,20,0.047619047619047616
page,8,3,5,0.375
someone,11,3,8,0.2727272727272727
na,6,1,5,0.16666666666666666
destroyed,10,4,6,0.4
ask,8,2,6,0.25
therefore,5,1,4,0.2
loves,5,2,3,0.4
freedom,10,2,8,0.2
hell,7,0,7,0.0
pandemic,7,0,7,0.0
